scheduled_start,elap_time,node_name,status.results
2022-07-26 19:00:00,0 00:20:53,D3HNADCWCMSDB01,Completed,8
2022-07-26 19:00:00,0 10:27:47,D3HNADCWCMSFT01,Completed,8
2022-07-26 19:00:00,0 00:23:14,D3HNADCWCMSWB01,Completed,8
2022-07-26 19:00:00,0 01:16:19,HNADXWCMMAPP01,Completed,0
2022-07-26 19:00:00,0 01:06:56,HNADXWCMMESS01,Completed,0
2022-07-26 19:00:00,0 01:04:18,HNADXWCMMSQL01,Completed,0
2022-07-26 19:00:00,0 00:42:34,HPTDXWEPIDB01,Completed,0
2022-07-26 19:00:00,0 00:59:16,HNAQXWCMMAPP01,Completed,0
2022-07-26 19:00:00,0 01:13:08,HNAQXWCMMESS01,Completed,0
2022-07-26 19:00:00,0 00:57:06,HNAQXWCMMSQL01,Completed,0
2022-07-26 19:00:00,0 01:02:11,HNAQXWCMMSQL02,Completed,0
2022-07-26 19:00:00,0 00:19:28,HNAPXWCMMAPO01,Completed,8
2022-07-26 19:00:00,0 00:32:39,HNAPXWCMMDBA01,Completed,8
2022-07-26 19:00:00,0 01:22:44,HNATOR02,Completed,8
2022-07-26 19:00:00,0 00:58:49,HPTTOR01,Completed,8
2022-07-26 19:00:00,0 00:26:46,P1HNADCWCMSFT01,Completed,0
2022-07-26 19:00:00,0 00:16:49,P1HNADCWCMSWB01,Completed,8
2022-07-26 19:00:00,0 00:17:28,P1HNADCWCMSDB01,Completed,8
2022-07-26 19:00:00,0 00:15:30,Q3HNADCWCMMDB01,Completed,8
2022-07-26 19:00:00,0 00:50:30,AHMPXWLBOAPP01,Completed,0
2022-07-26 19:00:00,0 00:56:11,AHMDXWLBOAPP01,Completed,0
2022-07-26 20:00:00,0 00:37:42,AHMPXWMBVWWEB01,Completed,0
2022-07-26 22:00:00,0 01:13:28,HNAPXWLBOSQL01,Completed,0
2022-07-26 22:00:00,0 00:52:26,P1HNADCWCMSCS01,Completed,8
2022-07-25 18:00:00,0 00:12:58,D3HNADCWCMMDB01,Completed,8
2022-07-25 18:30:00,0 01:12:43,HNAFTPPS01,Completed,0
2022-07-25 18:30:00,0 00:44:19,HNAPXWCMMAPP01,Completed,0
2022-07-25 18:30:00,0 00:50:11,HNAPXWCMMESS01,Completed,0
2022-07-25 18:30:00,0 01:27:22,HNAPXWCMMSQL01,Completed,0
2022-07-25 18:30:00,0 01:08:43,HNAPXWCMMSQL02,Completed,0
2022-07-25 18:30:00,0 00:34:03,HPTPXWEPIDB01,Completed,0
2022-07-25 18:30:00,0 00:14:38,P1HNADCWCMMDB01,Completed,8
2022-07-25 19:00:00,0 01:08:15,D3HNADCWCMSCS01,Completed,8
2022-07-25 19:00:00,0 00:22:06,D3HNADCWCMSDB01,Completed,8
2022-07-25 19:00:00,0 10:03:13,D3HNADCWCMSFT01,Completed,8
2022-07-25 19:00:00,0 00:24:55,D3HNADCWCMSWB01,Completed,8
2022-07-25 19:00:00,0 01:16:56,HNADXWCMMAPP01,Completed,0
2022-07-25 19:00:00,0 01:03:30,HNADXWCMMESS01,Completed,0
2022-07-25 19:00:00,0 01:02:19,HNADXWCMMSQL01,Completed,0
2022-07-25 19:00:00,0 00:47:04,HPTDXWEPIDB01,Completed,0
2022-07-25 19:00:00,0 00:59:04,HNAQXWCMMAPP01,Completed,0
2022-07-25 19:00:00,0 01:09:26,HNAQXWCMMESS01,Completed,0
2022-07-25 19:00:00,0 00:40:13,HNAQXWCMMSQL01,Completed,0
2022-07-25 19:00:00,0 01:02:16,HNAQXWCMMSQL02,Completed,0
2022-07-25 19:00:00,0 00:15:03,HNAPXWCMMAPO01,Completed,8
2022-07-25 19:00:00,0 00:33:15,HNAPXWCMMDBA01,Completed,8
2022-07-25 19:00:00,0 01:15:16,HNATOR02,Completed,8
